Timestamp_MS,Channel,Frame_Size_Bytes,RSSI_dBm,MAC_Address
3595504,1,119,-76,08:65:F0:DA:4D:63
3595524,1,356,-79,3C:46:A1:6D:8B:33
3595524,1,340,-71,3C:46:A1:6D:8B:F2
3595524,1,356,-72,3C:46:A1:6D:8B:F3
3595524,1,364,-72,3C:46:A1:6D:8B:F4
3595544,1,340,-74,3C:46:A1:6D:9B:B2
3595544,1,356,-74,3C:46:A1:6D:9B:B3
3595544,1,364,-78,3C:46:A1:70:A0:B4
3595574,1,356,-79,3C:46:A1:6D:96:A3
3595584,1,356,-80,3C:46:A1:6D:93:93
3595624,1,340,-78,3C:46:A1:6D:8B:32
3595624,1,356,-78,3C:46:A1:6D:8B:33
3595624,1,340,-70,3C:46:A1:6D:8B:F2
3595624,1,356,-72,3C:46:A1:6D:8B:F3
3595624,1,364,-72,3C:46:A1:6D:8B:F4
3595654,1,356,-80,3C:46:A1:6E:08:B3
3595674,1,340,-79,3C:46:A1:6D:96:A2
3595674,1,356,-78,3C:46:A1:6D:96:A3
3595684,1,340,-79,3C:46:A1:6D:93:92
3595684,1,356,-79,3C:46:A1:6D:93:93
3595704,1,119,-80,08:65:F0:DA:4D:63
3595724,1,356,-77,3C:46:A1:6D:8B:33
3595734,1,340,-71,3C:46:A1:6D:8B:F2
3595734,1,356,-71,3C:46:A1:6D:8B:F3
3595734,1,364,-72,3C:46:A1:6D:8B:F4
3595744,1,340,-74,3C:46:A1:6D:9B:B2
3595754,1,364,-78,3C:46:A1:70:A0:B4
3595754,1,356,-81,3C:46:A1:6E:08:B3
3595774,1,340,-78,3C:46:A1:6D:96:A2
3595774,1,356,-77,3C:46:A1:6D:96:A3
3595774,1,364,-78,3C:46:A1:6D:96:A4
3595784,1,340,-78,3C:46:A1:6D:93:92
3595784,1,356,-78,3C:46:A1:6D:93:93
3595784,1,364,-77,3C:46:A1:6D:93:94
3595804,1,356,-82,3C:46:A1:6D:D2:A3
3595814,1,119,-79,08:65:F0:DA:4D:63
3595824,1,356,-80,3C:46:A1:6D:8B:33
3595834,1,340,-72,3C:46:A1:6D:8B:F2
3595834,1,356,-71,3C:46:A1:6D:8B:F3
3595834,1,364,-71,3C:46:A1:6D:8B:F4
3595854,1,340,-74,3C:46:A1:6D:9B:B2
3595854,1,356,-76,3C:46:A1:6D:9B:B3
3595854,1,356,-77,3C:46:A1:70:A0:B3
3595854,1,364,-76,3C:46:A1:70:A0:B4
3595884,1,356,-79,3C:46:A1:6D:96:A3
3595934,1,340,-78,3C:46:A1:6D:8B:32
3595934,1,356,-78,3C:46:A1:6D:8B:33
3595934,1,340,-71,3C:46:A1:6D:8B:F2
3595934,1,356,-71,3C:46:A1:6D:8B:F3
3595934,1,364,-71,3C:46:A1:6D:8B:F4
3595954,1,340,-72,3C:46:A1:6D:9B:B2
3595954,1,356,-73,3C:46:A1:6D:9B:B3
3595954,1,364,-72,3C:46:A1:6D:9B:B4
3595954,1,356,-81,3C:46:A1:70:A0:B3
3595984,1,356,-79,3C:46:A1:6D:96:A3
3595994,1,356,-79,3C:46:A1:6D:93:93
3596014,1,119,-77,08:65:F0:DA:4D:63
3596034,1,356,-80,3C:46:A1:6D:8B:33
3596034,1,340,-71,3C:46:A1:6D:8B:F2
3596034,1,356,-71,3C:46:A1:6D:8B:F3
3596034,1,364,-71,3C:46:A1:6D:8B:F4
3596054,1,340,-73,3C:46:A1:6D:9B:B2
3596054,1,356,-73,3C:46:A1:6D:9B:B3
3596054,1,364,-72,3C:46:A1:6D:9B:B4
3596094,1,356,-77,3C:46:A1:6D:93:93
3596104,1,370,-85,BC:F8:7E:7D:40:2B
3596114,1,356,-80,3C:46:A1:6D:D2:A3
3596114,1,119,-77,08:65:F0:DA:4D:63
3596134,1,356,-79,3C:46:A1:6D:8B:33
3596144,1,340,-71,3C:46:A1:6D:8B:F2
3596144,1,356,-71,3C:46:A1:6D:8B:F3
3596144,1,364,-71,3C:46:A1:6D:8B:F4
3596154,1,340,-74,3C:46:A1:6D:9B:B2
3596154,1,356,-74,3C:46:A1:6D:9B:B3
3596164,1,356,-78,3C:46:A1:70:A0:B3
3596184,1,356,-80,3C:46:A1:6D:96:A3
3596194,1,356,-80,3C:46:A1:6D:93:93
3596234,1,340,-78,3C:46:A1:6D:8B:32
3596234,1,356,-78,3C:46:A1:6D:8B:33
3596244,1,340,-71,3C:46:A1:6D:8B:F2
3596244,1,356,-71,3C:46:A1:6D:8B:F3
3596244,1,364,-71,3C:46:A1:6D:8B:F4
3596264,1,340,-75,3C:46:A1:6D:9B:B2
3596294,1,340,-77,3C:46:A1:6D:93:92
3596304,1,356,-78,3C:46:A1:6D:93:93
3596324,1,119,-77,08:65:F0:DA:4D:63
3596344,1,340,-80,3C:46:A1:6D:8B:32
3596344,1,356,-79,3C:46:A1:6D:8B:33
3596344,1,364,-78,3C:46:A1:6D:8B:34
3596344,1,340,-71,3C:46:A1:6D:8B:F2
3596344,1,356,-71,3C:46:A1:6D:8B:F3
3596344,1,364,-70,3C:46:A1:6D:8B:F4
3596364,1,340,-72,3C:46:A1:6D:9B:B2
3596364,1,356,-72,3C:46:A1:6D:9B:B3
3596364,1,364,-71,3C:46:A1:6D:9B:B4
3596394,1,356,-79,3C:46:A1:6D:96:A3
3596444,1,356,-80,3C:46:A1:6D:8B:33
3596444,1,340,-71,3C:46:A1:6D:8B:F2
3596444,1,356,-71,3C:46:A1:6D:8B:F3
3596444,1,364,-71,3C:46:A1:6D:8B:F4
3596464,1,340,-73,3C:46:A1:6D:9B:B2
3596464,1,356,-73,3C:46:A1:6D:9B:B3
3596464,1,356,-78,3C:46:A1:70:A0:B3
3596494,1,356,-79,3C:46:A1:6D:96:A3
3596504,1,356,-83,3C:46:A1:6D:93:93
3596524,1,119,-78,08:65:F0:DA:4D:63
3596544,1,350,-71,3C:46:A1:6D:8B:F3
3596544,1,350,-71,3C:46:A1:6D:8B:F3
3596544,1,350,-72,3C:46:A1:6D:8B:F3
3596544,1,350,-70,3C:46:A1:6D:8B:F3
3596554,1,340,-71,3C:46:A1:6D:8B:F2
3596554,1,356,-71,3C:46:A1:6D:8B:F3
3596554,1,364,-71,3C:46:A1:6D:8B:F4
3596564,1,340,-75,3C:46:A1:6D:9B:B2
3596564,1,356,-73,3C:46:A1:6D:9B:B3
3596594,1,356,-78,3C:46:A1:6D:96:A3
3596604,1,356,-80,3C:46:A1:6D:93:93
3596634,1,119,-75,08:65:F0:DA:4D:63
3596644,1,356,-79,3C:46:A1:6D:8B:33
3596654,1,356,-71,3C:46:A1:6D:8B:F3
3596654,1,364,-73,3C:46:A1:6D:8B:F4
3596654,1,363,-78,3C:46:A1:6D:8B:32
3596674,1,340,-71,3C:46:A1:6D:9B:B2
3596674,1,356,-72,3C:46:A1:6D:9B:B3
3596704,1,356,-80,3C:46:A1:6D:96:A3
3596754,1,356,-79,3C:46:A1:6D:8B:33
3596754,1,340,-71,3C:46:A1:6D:8B:F2
3596754,1,356,-71,3C:46:A1:6D:8B:F3
3596754,1,364,-72,3C:46:A1:6D:8B:F4
3596774,1,340,-72,3C:46:A1:6D:9B:B2
3596774,1,356,-72,3C:46:A1:6D:9B:B3
3596774,1,364,-71,3C:46:A1:6D:9B:B4
3596774,1,356,-78,3C:46:A1:70:A0:B3
3596814,1,356,-80,3C:46:A1:6D:93:93
3596834,1,119,-78,08:65:F0:DA:4D:63
3596854,1,356,-77,3C:46:A1:6D:8B:33
3596854,1,340,-71,3C:46:A1:6D:8B:F2
3596854,1,356,-71,3C:46:A1:6D:8B:F3
3596854,1,364,-72,3C:46:A1:6D:8B:F4
3596874,1,356,-72,3C:46:A1:6D:9B:B3
3596874,1,364,-73,3C:46:A1:6D:9B:B4
3596904,1,356,-79,3C:46:A1:6D:96:A3
3596914,1,356,-80,3C:46:A1:6D:93:93
3596924,1,350,-79,3C:46:A1:6D:93:93
3596934,1,350,-71,3C:46:A1:6D:9B:B3
3596934,1,350,-72,3C:46:A1:6D:9B:B3
3596934,1,350,-70,3C:46:A1:6D:9B:B3
3596934,1,350,-79,3C:46:A1:6D:8B:33
3596954,1,350,-71,3C:46:A1:6D:9B:B3
3596954,1,350,-79,3C:46:A1:70:A0:B3
3596954,1,113,-77,08:65:F0:DA:4D:63
3596954,1,113,-77,08:65:F0:DA:4D:63
3596954,1,113,-75,08:65:F0:DA:4D:63
3596954,1,113,-76,08:65:F0:DA:4D:63
3596964,1,113,-75,08:65:F0:DA:4D:63
3596964,1,350,-70,3C:46:A1:6D:9B:B3
3596964,1,350,-71,3C:46:A1:6D:9B:B3
3596974,1,350,-79,3C:46:A1:6D:96:A3
3596974,1,340,-72,3C:46:A1:6D:9B:B2
3596974,1,356,-72,3C:46:A1:6D:9B:B3
3596984,1,356,-76,3C:46:A1:70:A0:B3
3596994,1,350,-81,3C:46:A1:6D:93:93
3596994,1,350,-73,3C:46:A1:6D:9B:B3
3596994,1,350,-72,3C:46:A1:6D:9B:B3
3596994,1,350,-71,3C:46:A1:6D:9B:B3
3596994,1,350,-77,3C:46:A1:6D:8B:33
3597004,1,350,-79,3C:46:A1:6D:8B:33
3597004,1,350,-79,3C:46:A1:6D:8B:33
3597004,1,350,-79,3C:46:A1:6D:8B:33
3597004,1,356,-79,3C:46:A1:6D:96:A3
3597014,1,356,-81,3C:46:A1:6D:93:93
3597024,1,370,-82,BC:F8:7E:7D:40:2B
3597044,1,119,-77,08:65:F0:DA:4D:63
3597054,1,356,-79,3C:46:A1:6D:8B:33
3597064,1,340,-71,3C:46:A1:6D:8B:F2
3597064,1,356,-71,3C:46:A1:6D:8B:F3
3597064,1,364,-71,3C:46:A1:6D:8B:F4
3597084,1,340,-72,3C:46:A1:6D:9B:B2
3597084,1,356,-73,3C:46:A1:6D:9B:B3
3597084,1,356,-76,3C:46:A1:70:A0:B3
3597114,1,356,-80,3C:46:A1:6D:96:A3
3597114,1,356,-84,3C:46:A1:6D:93:93
3597144,1,119,-77,08:65:F0:DA:4D:63
3597164,1,356,-80,3C:46:A1:6D:8B:33
3597164,1,340,-71,3C:46:A1:6D:8B:F2
